variable_name,description,data_type,min,max,units,enumerations,comment,src_variable_name,variable_description
assertion_type,"The semantic type of the resource, eg, Condition.",enumeration,,,,"phenotypic_feature=This is a phenotypic feature;disease=Disease;comorbidity=Comorbidity;histology=Histology;clinical_finding=Clinical Finding;ehr_billing_code=From an EHR billing record, which may indicate only investigation into a possible diagnosis.",,assertion_type,"The semantic type of the resource, eg, Condition."
age_at_assertion,The age in decimal years of the Subject when the assertion was made.,number,,,UCUM:a,,,age_at_assertion,The age in decimal years of the Subject when the assertion was made.
age_at_event,"The age in decimal years of the Subject at the time point which the assertion describes, | eg, age of onset or when a measurement was performed.",number,,,UCUM:a,,,age_at_event,"The age in decimal years of the Subject at the time point which the assertion describes, | eg, age of onset or when a measurement was performed."
age_at_resolution,The age in decimal years of the Subject when the asserted state was resolved.,number,,,UCUM:a,,,age_at_resolution,The age in decimal years of the Subject when the asserted state was resolved.
code,The structured term defining the meaning of the assertion.,string,,,,,,code,The structured term defining the meaning of the assertion.
display,The friendly display string of the coded term,string,,,,,,display,The friendly display string of the coded term
value_code,The structured term defining the value of the assertion.,string,,,,,,value_code,The structured term defining the value of the assertion.
value_display,The friendly display string of the coded term for the value of the assertion.,string,,,,,,value_display,The friendly display string of the coded term for the value of the assertion.
value_number,The numeric value of the assertion.,number,,,,,,value_number,The numeric value of the assertion.
value_units,The structured term defining the units of the value.,string,,,,,,value_units,The structured term defining the units of the value.
value_units_display,The friendly display string of units of the value.,string,,,,,,value_units_display,The friendly display string of units of the value.
has_access_policy,Which access policy applies to this element?,string,,,,,Foreign Key: AccessPolicy.id,has_access_policy,Which access policy applies to this element?
id,ID associated with a class,string,,,,,,id,ID associated with a class
Subject_id,Autocreated FK slot,string,,,,,Foreign Key: Subject.id,Subject_id,Autocreated FK slot
