family_member,family_role,has_access_policy,id,family_id
fm_36c8ac31d13bce6f178b68cf5bd9b175,SNOMED:85900004,ap_6afb041625efc9e04478b97493808bf2,fm_50b2c10bd7cfaeadc531ec3d589279eb,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_4027aa3061a2e1ecea58543528edf22e,SNOMED:85900004,ap_6afb041625efc9e04478b97493808bf2,fm_35df353ba5ee4a18f54682be17ddbff3,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_35605053205ce4b27a54221c91cb8048,SNOMED:85900004,ap_6afb041625efc9e04478b97493808bf2,fm_7127db845297880dd3e3d8a29cb9bd68,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_7f2a2891fdff67158c6b12c854a99cfa,SNOMED:85900004,ap_6afb041625efc9e04478b97493808bf2,fm_59417aa404d094da99e50d5a14200c9c,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_a8212b8f7c8d62957635c4387d6a3e11,SNOMED:85900004,ap_6afb041625efc9e04478b97493808bf2,fm_85f0fce02451b9903adc9c7fa5639440,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_e8a4ae60b8a905a0a9d7f206be6ec27a,SNOMED:85900004,ap_6afb041625efc9e04478b97493808bf2,fm_b35fa717315270c2c6e9dd16d28a0212,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_c639a98248a05493173ab3b628f07742,SNOMED:85900004,ap_6afb041625efc9e04478b97493808bf2,fm_180a316420cc49b3f471a9a400b4a602,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_2703474ff5cf653d7c13381a502a8ef7,SNOMED:85900004,ap_6afb041625efc9e04478b97493808bf2,fm_bd25cf7ad9394a8eaf40052d88b14e2b,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_a37124f495f1aac4c6303e568679043e,SNOMED:85900004,ap_6afb041625efc9e04478b97493808bf2,fm_8e2c640154edb24f74b0ce67f4421cc1,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_de47160e89c84a60f816ff83777045a0,SNOMED:85900004,ap_6afb041625efc9e04478b97493808bf2,fm_f4cd6c688d37db884e7e805781d85d4f,fy_f9f2e8087ca2153be6795acef1d4c97a
fm_45e528e04dc9ff08d40b446d35519ded,SNOMED:85900004,ap_6afb041625efc9e04478b97493808bf2,fm_6da1963ca5de0c5e96a12975880c81da,fy_f9f2e8087ca2153be6795acef1d4c97a
