SubjectAssertion_id,external_id
sa_c5f7eea862d91f21405593bab19c2f49,GSS1734
sa_301134daf75f047165070dd38e9e78ab,GSS1465
sa_1fdb9cf6488cbf6f994915bd63dc485d,GSS1732
sa_871c69c488fd3be23539016420f142a7,GSS1468
sa_69d447f8de9deafa6552a1c8c6aca9be,GSS1517
sa_d9aed15c347660db3a0ce3190f624ac7,GSS1505
sa_2ed8e66f2b8a6e8dea51f916d3cb616d,GSS1533
sa_5b00fa0922d5044b803c6f1b189e0a1e,GSS1108
sa_bc4c6a00334346c1cab4407b114bde38,GSS1124
sa_c9361e62b9489fd90da08e15de54da0c,GSS1481
sa_983305ce406e6b7f398fc89d6117e603,GSS1339
sa_24a887914aa695dfbf49690c9c0acbb7,GSS1383
sa_2062816bcb5234761fc2699343257873,GSS1714
sa_360968ce156f70b10c360d5e7176181f,GSS1732
sa_fd1a1841c31ad00ee58c00061fef3149,GSS1727
sa_d4eeaddbd255506da55057e3d4251c71,GSS1412
sa_b6a9ab4fb67b2bbac0474cc9f7316668,GSS1383
sa_49559ede4131e198e16ed113a4099bf3,GSS1441
sa_68a62217fdaaeb0b1a98fe700e6e3b36,GSS1727
sa_e460b059b57d720eeffcc8ff3acdff7d,GSS1745
sa_e01c237b20bee28b17adcaaa636241e9,GSS1700
sa_f030fe3a568e790e81c02579a8ae1dac,GSS1468
sa_b986796d9e9e69a9f71ca59aa2dd7200,GSS1626
sa_cd268109b71601fec7adb7d1081aa9a1,GSS1432
sa_4aad622fc60c12ffe012a8253ea000d4,GSS1108
sa_fdd81eee47a794b352b27c97c5049260,GSS1597
sa_a2b2992382aad28f5811785d6066aea1,GSS1124
sa_ab553a2ea3afaccf16b4aca2b40c6993,GSS1339
sa_cf8066032fbcfa04889b83e289607e79,GSS1619
sa_051f8df5da68da5ac930abf273bd702a,GSS1460
sa_2103a9c7ba0e4eae4ef155b7d464c3d0,GSS1254
sa_a7bfe734e0f945513061fc78e2e13295,GSS1732
sa_f36d93ef8d80456b5143ffe8c126d273,GSS1454
sa_627a3fbace2d0fa823c49d19558d7308,GSS1613
sa_a66e17be0acc2adf6581a64a24c28c51,GSS1752
sa_4c4fcebecfbc12e1736626b03dacbc20,GSS1502
sa_ea14a44f252afda3d70dc0ed322ee5e2,GSS1667
sa_4e0ab43e89fcbddb6abc235b54e1e1c6,GSS1421
sa_437938895d6557af7ba5110ab45c0c07,GSS1729
sa_107a7e3f38757a682b72842cab611b40,GSS1418
sa_5bf949e4e76915c65482661141ea87f9,GSS1651
sa_9b3e9f5e158a8ad925c8135aa807ca98,GSS1261
sa_a6884ca1e1e1df4366643327879e8ae7,GSS1371
sa_d846f6bf92f28cc56ed8b98f082d5f9e,GSS1714
sa_a4995fc5dde580921fe1f6ef3040ef53,GSS1964
sa_700f42e411bfc1b5f9472bca16289904,GSS1343
sa_7ee4cbf29442f2c0a08f8040a3d758de,GSS1629
sa_c297651a05ae4270abf0c9f11eb63d06,GSS1918
sa_f62b1e4f41e59da433cd85d87b008e02,GSS1605
sa_764bc33219a498335a7ca3d95eb5a3ee,GSS1261
sa_474d22cb23d9397f01131c731dfe1aac,GSS1247
sa_90f35251ec65584f4047474cde7d4f9b,GSS1331
sa_c978b66736b80de3856e7df1840e9600,GSS1503
sa_f7b8d9af32725168ac30bb389afbbddd,GSS2063
sa_3e91f10baadc0f71a0e4f8d2e3d99dc5,GSS1454
sa_0698670511ede3e476a18edd87537ed3,GSS1674
sa_27df08b7e05ab65620ff0bb36a948e1e,GSS1383
sa_7be95dad13cb90c71a7ca2b52d388ff7,GSS1310
sa_b754892217f4958cdf27ed949ab628a5,GSS1202
sa_fcff172251c7d8badd29ce78031f5eff,GSS1533
sa_1bbf731378f85c3a0143af5705b472dc,GSS1964
sa_75d3e69e7565506c6383abcf777a8185,GSS1787
sa_7fd7352ec5dcdca12682dac0f305a268,GSS1507
sa_40d3374f3cad4e1abf803113827dabd0,GSS1517
sa_72ac4e684d7972a70044846c32735779,GSS1310
sa_b988479ad9396b1a5b7c76ce1eb9597c,GSS1533
sa_0dd445c30e3200454b3a887cee79a19d,GSS1517
sa_e67826f8e932966a86f9e3bb4b599108,GSS1704
sa_dc34946d8fae738dd2728d2d0765c9fc,GSS1421
sa_8026bc3a7853b60dab600bf408b80c14,GSS1918
sa_5318032b027914b5c80b927c47017f11,GSS1338
sa_c6f9e9d100da0709ef1c00f6e7445222,GSS1331
