variable_name,variable_description,data_type,enumerated_values,units,min,max,src_variable_name
study_code,Unique identifier for the study,String,,,,,Study Code
participant_global_id,A globally unique identifier for the participant,String,,,,,Participant Global ID
participant_external_id,External identifier assigned to the participant,String,,,,,Participant External ID
event_id,Unique identifier for the event,Integer,,,,,Event ID
event_type,Type of event (e.g. visit diagnosis observation),String,,,,,Event Type
condition_or_measure_source_text,The original text used to describe the condition or measure,String,,,,,Condition or Measure Source Text
age_at_condition_or_measure_observation,Age of the participant at the time of the condition or measure observation,Float,,,,,Age at Condition or Measure Observation
condition_interpretation,Interpretation of the condition (e.g. Observed Suspected),String,,,,,Condition Interpretation
condition_status,Status of the condition (e.g. Active History Of),String,,,,,Condition Status
condition_data_source,Source of the condition data (e.g. Self-Reported EHR),String,,,,,Condition Data Source
hpo_label,Human Phenotype Ontology (HPO) label associated with the condition,String,,,,,HPO Label
hpo_code,HPO code associated with the condition,String,,,,,HPO Code
mondo_label,MONDO ontology label for the condition,String,,,,,MONDO Label
mondo_code,MONDO ontology code for the condition,String,,,,,MONDO Code
maxo_label,Maximum medical ontology label if applicable,String,,,,,MAXO Label
maxo_code,Maximum medical ontology code if applicable,String,,,,,MAXO Code
other_label,Any other ontology label used for mapping the condition,String,,,,,Other Label
other_code,Any other ontology code used for mapping the condition,String,,,,,Other Code
measure_value,The recorded value for a given measure (if applicable),Float,,,,,Measure Value
measure_unit,The unit of measurement for the recorded value,String,,,,,Measure Unit
ftd_key,Unique key for the FTD record,String,,,,,ftd_key
