api,searched_code,response_code,display,description,system,code_iri,ontology_prefix
umls,OMIM:600138,600138,RETINITIS PIGMENTOSA 11,['RETINITIS PIGMENTOSA 11'],https://omim.org/,https://uts-ws.nlm.nih.gov/rest/content/2025AA/source/OMIM/600138,OMIM
umls,ORPHA:71211,No results,No results,No results,No results,No results,No results
umls,OMIM:312700,312700,"RETINOSCHISIS 1, X-LINKED, JUVENILE","['RETINOSCHISIS 1, X-LINKED, JUVENILE']",https://omim.org/,https://uts-ws.nlm.nih.gov/rest/content/2025AA/source/OMIM/312700,OMIM
umls,OMIM:177850,177850,"PSEUDOXANTHOMA ELASTICUM, FORME FRUSTE","['PSEUDOXANTHOMA ELASTICUM, FORME FRUSTE']",https://omim.org/,https://uts-ws.nlm.nih.gov/rest/content/2025AA/source/OMIM/177850,OMIM
umls,OMIM:618826,618826,RETINITIS PIGMENTOSA 88,['RETINITIS PIGMENTOSA 88'],https://omim.org/,https://uts-ws.nlm.nih.gov/rest/content/2025AA/source/OMIM/618826,OMIM
umls,OMIM:614569,614569,"MULTIPLE ENCHONDROMATOSIS, MAFFUCCI TYPE","['MULTIPLE ENCHONDROMATOSIS, MAFFUCCI TYPE']",https://omim.org/,https://uts-ws.nlm.nih.gov/rest/content/2025AA/source/OMIM/614569,OMIM
umls,OMIM:614844,614844,NEPHRONOPHTHISIS 14,['NEPHRONOPHTHISIS 14'],https://omim.org/,https://uts-ws.nlm.nih.gov/rest/content/2025AA/source/OMIM/614844,OMIM
umls,OMIM:277590,277590,WEAVER SYNDROME,['WEAVER SYNDROME'],https://omim.org/,https://uts-ws.nlm.nih.gov/rest/content/2025AA/source/OMIM/277590,OMIM
umls,OMIM:172870,172870,PIGMENTED PARAVENOUS CHORIORETINAL ATROPHY,['PIGMENTED PARAVENOUS CHORIORETINAL ATROPHY'],https://omim.org/,https://uts-ws.nlm.nih.gov/rest/content/2025AA/source/OMIM/172870,OMIM
umls,OMIM:600977,600977,CONE-ROD DYSTROPHY 5,['CONE-ROD DYSTROPHY 5'],https://omim.org/,https://uts-ws.nlm.nih.gov/rest/content/2025AA/source/OMIM/600977,OMIM
umls,OMIM:613820,613820,NEPHRONOPHTHISIS 12,['NEPHRONOPHTHISIS 12'],https://omim.org/,https://uts-ws.nlm.nih.gov/rest/content/2025AA/source/OMIM/613820,OMIM
umls,OMIM:142690,142690,"ACNE INVERSA, FAMILIAL, 1","['ACNE INVERSA, FAMILIAL, 1']",https://omim.org/,https://uts-ws.nlm.nih.gov/rest/content/2025AA/source/OMIM/142690,OMIM
umls,OMIM:605361,605361,SPINOCEREBELLAR ATAXIA 14,['SPINOCEREBELLAR ATAXIA 14'],https://omim.org/,https://uts-ws.nlm.nih.gov/rest/content/2025AA/source/OMIM/605361,OMIM
umls,OMIM:276901,276901,"USHER SYNDROME, TYPE IIA","['USHER SYNDROME, TYPE IIA']",https://omim.org/,https://uts-ws.nlm.nih.gov/rest/content/2025AA/source/OMIM/276901,OMIM
umls,OMIM:616079,616079,RETINAL DYSTROPHY WITH INNER RETINAL DYSFUNCTION AND GANGLION CELL ABNORMALITIES,['RETINAL DYSTROPHY WITH INNER RETINAL DYSFUNCTION AND GANGLION CELL ABNORMALITIES'],https://omim.org/,https://uts-ws.nlm.nih.gov/rest/content/2025AA/source/OMIM/616079,OMIM
