consent_group,snapshot_id,google_data_project,snapshot_dataset,table_id,parameterized_query
DS-BAV-IRB-PUB-RD,b48a3a5c-9d3f-4228-8a24-19f315890f7b,datarepo-0ef2f4b9,ANVIL_CMG_UWASH_DS_BAV_IRB_PUB_RD_20250206_ANV5_202502201846,,
DS-BDIS,4312ca34-388a-4d28-baa3-b64ec6eaf7af,datarepo-e85fc320,ANVIL_CMG_UWASH_DS_BDIS_20250206_ANV5_202502201850,,
DS-CHDEF,10e413c2-729c-4802-a387-6763a7798d8f,datarepo-2c303369,ANVIL_CMG_UWash_DS_CHDEF_20250224_ANV5_202502241753,,
DS-EP,f71051be-17e3-42bf-b534-5af0e3740937,datarepo-0e0af0a8,ANVIL_CMG_UWash_DS_EP_20250219_ANV5_202502201854,,
DS-HFA,98a13ebb-0a91-427e-bdd5-8f5833036d81,datarepo-a5e0fb2a,ANVIL_CMG_UWASH_DS_HFA_20250206_ANV5_202502201859,,
DS-NBIA,4a815323-5dc1-4a0c-93c0-1c2333345c4d,datarepo-28813dc5,ANVIL_CMG_UWASH_DS_NBIA_20250206_ANV5_202502201903,,
GRU,db0c9cff-f3f9-4315-addb-6b6c9088b124,datarepo-766c47dd,ANVIL_CMG_UWash_GRU_20250224_ANV5_202502241706,,
GRU-IRB,3c279159-bd0e-4df9-bcea-9640e49a694b,datarepo-aa22e87e,ANVIL_CMG_UWash_GRU_IRB_20250224_ANV5_202502241723,,
HMB,1cd2be27-fc8b-4779-9398-d06979ce43c3,datarepo-418e6f5b,ANVIL_CMG_UWASH_HMB_20250219_ANV5_202502201916,,
HMB-IRB,08568995-f347-4c5a-bd55-d9cc44441e07,datarepo-11e44295,ANVIL_CMG_UWASH_HMB_IRB_20250219_ANV5_202502201921,,
