api,searched_code,response_code,display,description,system,code_iri,ontology_prefix
ols2,HP:0000011,HP:0000011,Neurogenic bladder,['Neurogenic bladder'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000011,HP
ols2,HP:0000016,HP:0000016,Urinary retention,['Urinary retention'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000016,HP
ols2,HP:0000023,HP:0000023,Inguinal hernia,['Inguinal hernia'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000023,HP
ols2,HP:0000028,HP:0000028,Cryptorchidism,['Cryptorchidism'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000028,HP
ols2,HP:0000047,HP:0000047,Hypospadias,['Hypospadias'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000047,HP
ols2,HP:0000051,HP:0000051,Perineal hypospadias,['Perineal hypospadias'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000051,HP
ols2,HP:0000054,HP:0000054,Micropenis,['Micropenis'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000054,HP
ols2,HP:0000062,HP:0000062,Ambiguous genitalia,['Ambiguous genitalia'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000062,HP
ols2,HP:0000074,HP:0000074,Ureteropelvic junction obstruction,['Ureteropelvic junction obstruction'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000074,HP
ols2,HP:0000104,HP:0000104,Renal agenesis,['Renal agenesis'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000104,HP
ols2,HP:0000122,HP:0000122,Unilateral renal agenesis,['Unilateral renal agenesis'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000122,HP
ols2,HP:0000124,HP:0000124,Renal tubular dysfunction,['Renal tubular dysfunction'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000124,HP
ols2,HP:0000126,HP:0000126,Hydronephrosis,['Hydronephrosis'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000126,HP
ols2,HP:0000158,HP:0000158,Macroglossia,['Macroglossia'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000158,HP
ols2,HP:0000175,HP:0000175,Cleft palate,['Cleft palate'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000175,HP
ols2,HP:0000233,HP:0000233,Thin vermilion border,['Thin vermilion border'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000233,HP
ols2,HP:0000238,HP:0000238,Hydrocephalus,['Hydrocephalus'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000238,HP
ols2,HP:0000271,HP:0000271,Abnormality of the face,['Abnormality of the face'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000271,HP
ols2,HP:0000293,HP:0000293,Full cheeks,['Full cheeks'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000293,HP
ols2,HP:0000308,HP:0000308,Microretrognathia,['Microretrognathia'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000308,HP
ols2,HP:0000316,HP:0000316,Hypertelorism,['Hypertelorism'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000316,HP
ols2,HP:0000343,HP:0000343,Long philtrum,['Long philtrum'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000343,HP
ols2,HP:0000347,HP:0000347,Micrognathia,['Micrognathia'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000347,HP
ols2,HP:0000348,HP:0000348,High forehead,['High forehead'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000348,HP
ols2,HP:0000365,HP:0000365,Hearing impairment,['Hearing impairment'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000365,HP
ols2,HP:0000369,HP:0000369,Low-set ears,['Low-set ears'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000369,HP
ols2,HP:0000426,HP:0000426,Prominent nasal bridge,['Prominent nasal bridge'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000426,HP
ols2,HP:0000445,HP:0000445,Wide nose,['Wide nose'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000445,HP
ols2,HP:0000453,HP:0000453,Choanal atresia,['Choanal atresia'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000453,HP
ols2,HP:0000465,HP:0000465,Webbed neck,['Webbed neck'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000465,HP
ols2,HP:0000470,HP:0000470,Short neck,['Short neck'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000470,HP
ols2,HP:0000474,HP:0000474,Thickened nuchal skin fold,['Thickened nuchal skin fold'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000474,HP
ols2,HP:0000488,HP:0000488,Retinopathy,['Retinopathy'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000488,HP
ols2,HP:0000494,HP:0000494,Downslanted palpebral fissures,['Downslanted palpebral fissures'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000494,HP
ols2,HP:0000567,HP:0000567,Chorioretinal coloboma,['Chorioretinal coloboma'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000567,HP
ols2,HP:0000776,HP:0000776,Congenital diaphragmatic hernia,['Congenital diaphragmatic hernia'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000776,HP
ols2,HP:0000821,HP:0000821,Hypothyroidism,['Hypothyroidism'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000821,HP
ols2,HP:0000921,HP:0000921,Missing ribs,['Missing ribs'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000921,HP
ols2,HP:0000960,HP:0000960,Sacral dimple,['Sacral dimple'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000960,HP
ols2,HP:0001000,HP:0001000,Abnormality of skin pigmentation,['Abnormality of skin pigmentation'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0001000,HP
ols2,HP:0001007,HP:0001007,Hirsutism,['Hirsutism'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0001007,HP
ols2,HP:0001057,HP:0001057,Aplasia cutis congenita,['Aplasia cutis congenita'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0001057,HP
ols2,HP:0001159,HP:0001159,Syndactyly,['Syndactyly'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0001159,HP
ols2,HP:0001172,HP:0001172,Abnormal thumb morphology,['Abnormal thumb morphology'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0001172,HP
ols2,HP:0001188,HP:0001188,Hand clenching,['Hand clenching'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0001188,HP
ols2,HP:0001250,HP:0001250,Seizure,['Seizure'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0001250,HP
ols2,HP:0001252,HP:0001252,Hypotonia,['Hypotonia'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0001252,HP
ols2,HP:0001257,HP:0001257,Spasticity,['Spasticity'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0001257,HP
ols2,HP:0001274,HP:0001274,Agenesis of corpus callosum,['Agenesis of corpus callosum'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0001274,HP
ols2,HP:0001297,HP:0001297,Stroke,['Stroke'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0001297,HP
ols2,HP:0001305,HP:0001305,Dandy-Walker malformation,['Dandy-Walker malformation'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0001305,HP
ols2,HP:0001334,HP:0001334,Communicating hydrocephalus,['Communicating hydrocephalus'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0001334,HP
ols2,HP:0001338,HP:0001338,Partial agenesis of the corpus callosum,['Partial agenesis of the corpus callosum'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0001338,HP
ols2,HP:0001339,HP:0001339,Lissencephaly,['Lissencephaly'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0001339,HP
