api,searched_code,response_code,display,description,system,code_iri,ontology_prefix
ols2,HP:0000003,HP:0000003,Multicystic kidney dysplasia,['Multicystic kidney dysplasia'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000003,HP
ols2,HP:0000010,HP:0000010,Recurrent urinary tract infections,['Recurrent urinary tract infections'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000010,HP
ols2,HP:0000017,HP:0000017,Nocturia,['Nocturia'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000017,HP
ols2,HP:0000020,HP:0000020,Urinary incontinence,['Urinary incontinence'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000020,HP
ols2,HP:0000028,HP:0000028,Cryptorchidism,['Cryptorchidism'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000028,HP
ols2,HP:0000062,HP:0000062,Ambiguous genitalia,['Ambiguous genitalia'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000062,HP
ols2,HP:0000070,HP:0000070,Ureterocele,['Ureterocele'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000070,HP
ols2,HP:0000083,HP:0000083,Renal insufficiency,['Renal insufficiency'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000083,HP
ols2,HP:0000097,HP:0000097,Focal segmental glomerulosclerosis,['Focal segmental glomerulosclerosis'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000097,HP
ols2,HP:0000098,HP:0000098,Tall stature,['Tall stature'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000098,HP
ols2,HP:0000105,HP:0000105,Enlarged kidney,['Enlarged kidney'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000105,HP
ols2,HP:0000107,HP:0000107,Renal cyst,['Renal cyst'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000107,HP
ols2,HP:0000112,HP:0000112,Nephropathy,['Nephropathy'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000112,HP
ols2,HP:0000113,HP:0000113,Polycystic kidney dysplasia,['Polycystic kidney dysplasia'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000113,HP
ols2,HP:0000121,HP:0000121,Nephrocalcinosis,['Nephrocalcinosis'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000121,HP
ols2,HP:0000122,HP:0000122,Unilateral renal agenesis,['Unilateral renal agenesis'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000122,HP
ols2,HP:0000125,HP:0000125,Pelvic kidney,['Pelvic kidney'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000125,HP
ols2,HP:0000126,HP:0000126,Hydronephrosis,['Hydronephrosis'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000126,HP
ols2,HP:0000140,HP:0000140,Abnormality of the menstrual cycle,['Abnormality of the menstrual cycle'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000140,HP
ols2,HP:0000154,HP:0000154,Wide mouth,['Wide mouth'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000154,HP
ols2,HP:0000155,HP:0000155,Oral ulcer,['Oral ulcer'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000155,HP
ols2,HP:0000159,HP:0000159,Abnormal lip morphology,['Abnormal lip morphology'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000159,HP
ols2,HP:0000215,HP:0000215,Thick upper lip vermilion,['Thick upper lip vermilion'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000215,HP
ols2,HP:0000218,HP:0000218,High palate,['High palate'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000218,HP
ols2,HP:0000233,HP:0000233,Thin vermilion border,['Thin vermilion border'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000233,HP
ols2,HP:0000238,HP:0000238,Hydrocephalus,['Hydrocephalus'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000238,HP
ols2,HP:0000246,HP:0000246,Sinusitis,['Sinusitis'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000246,HP
ols2,HP:0000252,HP:0000252,Microcephaly,['Microcephaly'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000252,HP
ols2,HP:0000256,HP:0000256,Macrocephaly,['Macrocephaly'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000256,HP
ols2,HP:0000267,HP:0000267,Cranial asymmetry,['Cranial asymmetry'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000267,HP
ols2,HP:0000271,HP:0000271,Abnormality of the face,['Abnormality of the face'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000271,HP
ols2,HP:0000278,HP:0000278,Retrognathia,['Retrognathia'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000278,HP
ols2,HP:0000280,HP:0000280,Coarse facial features,['Coarse facial features'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000280,HP
ols2,HP:0000293,HP:0000293,Full cheeks,['Full cheeks'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000293,HP
ols2,HP:0000297,HP:0000297,Facial hypotonia,['Facial hypotonia'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000297,HP
ols2,HP:0000307,HP:0000307,Pointed chin,['Pointed chin'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000307,HP
ols2,HP:0000308,HP:0000308,Microretrognathia,['Microretrognathia'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000308,HP
ols2,HP:0000316,HP:0000316,Hypertelorism,['Hypertelorism'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000316,HP
ols2,HP:0000319,HP:0000319,Smooth philtrum,['Smooth philtrum'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000319,HP
ols2,HP:0000324,HP:0000324,Facial asymmetry,['Facial asymmetry'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000324,HP
ols2,HP:0000325,HP:0000325,Triangular face,['Triangular face'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000325,HP
ols2,HP:0000327,HP:0000327,Hypoplasia of the maxilla,['Hypoplasia of the maxilla'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000327,HP
ols2,HP:0000337,HP:0000337,Broad forehead,['Broad forehead'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000337,HP
ols2,HP:0000347,HP:0000347,Micrognathia,['Micrognathia'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000347,HP
ols2,HP:0000358,HP:0000358,Posteriorly rotated ears,['Posteriorly rotated ears'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000358,HP
ols2,HP:0000360,HP:0000360,Tinnitus,['Tinnitus'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000360,HP
ols2,HP:0000365,HP:0000365,Hearing impairment,['Hearing impairment'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000365,HP
ols2,HP:0000378,HP:0000378,Cupped ear,['Cupped ear'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000378,HP
ols2,HP:0000405,HP:0000405,Conductive hearing impairment,['Conductive hearing impairment'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000405,HP
ols2,HP:0000426,HP:0000426,Prominent nasal bridge,['Prominent nasal bridge'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000426,HP
ols2,HP:0000429,HP:0000429,Abnormal morphology of the nasal alae,['Abnormal morphology of the nasal alae'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000429,HP
ols2,HP:0000436,HP:0000436,Abnormal nasal tip morphology,['Abnormal nasal tip morphology'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000436,HP
ols2,HP:0000473,HP:0000473,Torticollis,['Torticollis'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000473,HP
ols2,HP:0000483,HP:0000483,Astigmatism,['Astigmatism'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000483,HP
ols2,HP:0000486,HP:0000486,Strabismus,['Strabismus'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000486,HP
ols2,HP:0000494,HP:0000494,Downslanted palpebral fissures,['Downslanted palpebral fissures'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000494,HP
ols2,HP:0000506,HP:0000506,Telecanthus,['Telecanthus'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000506,HP
ols2,HP:0000508,HP:0000508,Ptosis,['Ptosis'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000508,HP
ols2,HP:0000518,HP:0000518,Cataract,['Cataract'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000518,HP
ols2,HP:0000519,HP:0000519,Developmental cataract,['Developmental cataract'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000519,HP
ols2,HP:0000524,HP:0000524,Conjunctival telangiectasia,['Conjunctival telangiectasia'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000524,HP
ols2,HP:0000540,HP:0000540,Hypermetropia,['Hypermetropia'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000540,HP
ols2,HP:0000545,HP:0000545,Myopia,['Myopia'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000545,HP
ols2,HP:0000568,HP:0000568,Microphthalmia,['Microphthalmia'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000568,HP
ols2,HP:0000570,HP:0000570,Abnormal saccadic eye movements,['Abnormal saccadic eye movements'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000570,HP
ols2,HP:0000572,HP:0000572,Visual loss,['Visual loss'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000572,HP
ols2,HP:0000579,HP:0000579,Nasolacrimal duct obstruction,['Nasolacrimal duct obstruction'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000579,HP
ols2,HP:0000580,HP:0000580,Pigmentary retinopathy,['Pigmentary retinopathy'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000580,HP
ols2,HP:0000582,HP:0000582,Upslanted palpebral fissure,['Upslanted palpebral fissure'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000582,HP
ols2,HP:0000587,HP:0000587,Abnormal optic nerve morphology,['Abnormal optic nerve morphology'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000587,HP
ols2,HP:0000602,HP:0000602,Ophthalmoplegia,['Ophthalmoplegia'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000602,HP
ols2,HP:0000609,HP:0000609,Optic nerve hypoplasia,['Optic nerve hypoplasia'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000609,HP
ols2,HP:0000621,HP:0000621,Entropion,['Entropion'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000621,HP
ols2,HP:0000622,HP:0000622,Blurred vision,['Blurred vision'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000622,HP
ols2,HP:0000639,HP:0000639,Nystagmus,['Nystagmus'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000639,HP
ols2,HP:0000646,HP:0000646,Amblyopia,['Amblyopia'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000646,HP
ols2,HP:0000651,HP:0000651,Diplopia,['Diplopia'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000651,HP
ols2,HP:0000677,HP:0000677,Oligodontia,['Oligodontia'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000677,HP
ols2,HP:0000695,HP:0000695,Natal tooth,['Natal tooth'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000695,HP
ols2,HP:0000704,HP:0000704,Periodontitis,['Periodontitis'],http://purl.obolibrary.org/obo/hp/hp-international.owl,http://purl.obolibrary.org/obo/HP_0000704,HP
