local code,text,table_name,parent_varname,local code system,mapping relationship,code,display,code system,comment
affected_status,affected status,Subject,,https://anvilproject.org//Subject,source-is-narrower-than-target,SNOMED:263490005,Status,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
age_at_last_observation,age at last observation,Subject,,https://anvilproject.org//Subject,source-is-narrower-than-target,SNOMED:397669002,Age,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
age_of_onset,age of onset,Subject,,https://anvilproject.org//Subject,,SNOMED:445518008,Age at onset of clinical finding,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
ancestry,ancestry,Subject,,https://anvilproject.org//Subject,source-is-narrower-than-target,SNOMED:364699009,Ethnic group,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
ancestry_detail,ancestry detail,Subject,,https://anvilproject.org//Subject,source-is-narrower-than-target,SNOMED:364699009,Ethnic group,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
congenital_status,congenital status,Subject,,https://anvilproject.org//Subject,,SNOMED:255399007,Congenital,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
dbgap_submission,dbgap submission,Subject,,https://anvilproject.org//Subject,source-is-narrower-than-target,SNOMED:711246001,Laboratory specimen submitted,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
disease_description,disease description,Subject,,https://anvilproject.org//Subject,equivalent,SNOMED:263507004,Pattern of disease,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
hpo_absent,hpo absent,Subject,,https://anvilproject.org//Subject,source-is-narrower-than-target,SNOMED:363778006,Phenotype determination,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
hpo_present,hpo present,Subject,,https://anvilproject.org//Subject,source-is-narrower-than-target,SNOMED:363778006,Phenotype determination,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
multiple_datasets,multiple datasets,Subject,,https://anvilproject.org//Subject,source-is-narrower-than-target,SNOMED:386409003,Research data collection,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
phenotype_description,phenotype description,Subject,,https://anvilproject.org//Subject,source-is-narrower-than-target,SNOMED:8116006,Phenotype,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
phenotype_group,phenotype group,Subject,,https://anvilproject.org//Subject,source-is-narrower-than-target,SNOMED:8116006,Phenotype,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
prior_testing,prior testing,Subject,,https://anvilproject.org//Subject,source-is-narrower-than-target,SNOMED:67780002,Has assessment,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
proband_relationship,proband relationship,Subject,,https://anvilproject.org//Subject,source-is-narrower-than-target,SNOMED:263498003,Relationship,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
sex,sex,Subject,,https://anvilproject.org//Subject,equivalent,SNOMED:184100006,Patient sex,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
solve_state,solve state,Subject,,https://anvilproject.org//Subject,source-is-narrower-than-target,SNOMED:398070004,State,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
No,,Subject,,https://anvilproject.org//dbgap_submission,equivalent,SNOMED:373067005,No,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
Yes,,Subject,,https://anvilproject.org//dbgap_submission,equivalent,SNOMED:373066001,Yes,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
No,,Subject,,https://anvilproject.org//multiple_datasets,equivalent,SNOMED:373067005,No,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
Yes,,Subject,,https://anvilproject.org//multiple_datasets,equivalent,SNOMED:373066001,Yes,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
Aunt,,Subject,,https://anvilproject.org//proband_relationship,equivalent,SNOMED:25211005,Aunt,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
Brother,,Subject,,https://anvilproject.org//proband_relationship,equivalent,SNOMED:70924004,Brother,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
Brother in law,,Subject,,https://anvilproject.org//proband_relationship,equivalent,1300179009,Brother-in-law,http://snomed.info/sct,
Child,,Subject,,https://anvilproject.org//proband_relationship,equivalent,SNOMED:67822003,Child,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
Cousin,,Subject,,https://anvilproject.org//proband_relationship,equivalent,SNOMED:55538000,Cousin,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
Distant maternal cousin,,Subject,,https://anvilproject.org//proband_relationship,source-is-narrower-than-target,SNOMED:719759007,Maternal cousin,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
FIrst cousin,,Subject,,https://anvilproject.org//proband_relationship,equivalent,SNOMED:4577005,First cousin,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
Father,,Subject,,https://anvilproject.org//proband_relationship,equivalent,SNOMED:66839005,Father,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
Female Child or Daughter,,Subject,,https://anvilproject.org//proband_relationship,equivalent,SNOMED:431549007,Female child,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
Female first cousin,,Subject,,https://anvilproject.org//proband_relationship,equivalent,SNOMED:270002,Female first cousin,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
First cousin once removed,,Subject,,https://anvilproject.org//proband_relationship,source-is-narrower-than-target,SNOMED:4577005,First cousin,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
First cousin twice removed,,Subject,,https://anvilproject.org//proband_relationship,source-is-narrower-than-target,SNOMED:4577005,First cousin,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
Grandchild,,Subject,,https://anvilproject.org//proband_relationship,equivalent,SNOMED:86372007,Grandchild,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
Great aunt,,Subject,,https://anvilproject.org//proband_relationship,equivalent,SNOMED:394862003,Great aunt,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
Half Sister,,Subject,,https://anvilproject.org//proband_relationship,equivalent,SNOMED:2272004,Half-sister,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
Half brother,,Subject,,https://anvilproject.org//proband_relationship,equivalent,SNOMED:45929001,Half-brother,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
Half first cousin,,Subject,,https://anvilproject.org//proband_relationship,source-is-narrower-than-target,SNOMED:4577005,First cousin,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
Half nephew,,Subject,,https://anvilproject.org//proband_relationship,source-is-narrower-than-target,SNOMED:83559000,Nephew,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
Half sibling,,Subject,,https://anvilproject.org//proband_relationship,equivalent,SNOMED:21093007,Half-sibling,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
Male Child,,Subject,,https://anvilproject.org//proband_relationship,equivalent,SNOMED:433152004,Male child,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
Maternal aunt,,Subject,,https://anvilproject.org//proband_relationship,equivalent,SNOMED:736454006,Maternal aunt,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
Maternal cousin,,Subject,,https://anvilproject.org//proband_relationship,equivalent,SNOMED:719759007,Maternal cousin,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
Maternal female cousin,,Subject,,https://anvilproject.org//proband_relationship,source-is-narrower-than-target,SNOMED:719759007,Maternal cousin,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
Maternal grandfather,,Subject,,https://anvilproject.org//proband_relationship,equivalent,SNOMED:394857004,Maternal grandfather,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
Maternal grandmother,,Subject,,https://anvilproject.org//proband_relationship,equivalent,SNOMED:394859001,Maternal grandmother,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
Maternal great uncle,,Subject,,https://anvilproject.org//proband_relationship,source-is-narrower-than-target,SNOMED:394861005,Great uncle,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
Maternal half brother,,Subject,,https://anvilproject.org//proband_relationship,equivalent,SNOMED:719766008,Maternal half brother,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
Maternal half sister,,Subject,,https://anvilproject.org//proband_relationship,equivalent,SNOMED:719765007,Maternal half sister,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
Maternal male cousin,,Subject,,https://anvilproject.org//proband_relationship,source-is-narrower-than-target,SNOMED:719759007,Maternal cousin,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
Maternal uncle,,Subject,,https://anvilproject.org//proband_relationship,equivalent,SNOMED:442031000124102,Maternal uncle,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
Monozygotic twin brother,,Subject,,https://anvilproject.org//proband_relationship,equivalent,SNOMED:78194006,Identical twin brother,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
Monozygotic twin sister,,Subject,,https://anvilproject.org//proband_relationship,equivalent,SNOMED:50058005,Identical twin sister,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
Mother,,Subject,,https://anvilproject.org//proband_relationship,equivalent,SNOMED:72705000,Mother,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
Nephew,,Subject,,https://anvilproject.org//proband_relationship,equivalent,SNOMED:83559000,Nephew,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
Niece,,Subject,,https://anvilproject.org//proband_relationship,equivalent,SNOMED:34581001,Niece,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
Niece in law,,Subject,,https://anvilproject.org//proband_relationship,source-is-narrower-than-target,SNOMED:34581001,Niece,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
Paternal aunt,,Subject,,https://anvilproject.org//proband_relationship,equivalent,SNOMED:736455007,Paternal aunt,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
Paternal cousin,,Subject,,https://anvilproject.org//proband_relationship,equivalent,SNOMED:719760002,Paternal cousin,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
Paternal female cousin,,Subject,,https://anvilproject.org//proband_relationship,source-is-narrower-than-target,SNOMED:2959006,Female cousin,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
Paternal first cousin once removed,,Subject,,https://anvilproject.org//proband_relationship,source-is-narrower-than-target,SNOMED:719760002,Paternal cousin,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
Paternal grandfather,,Subject,,https://anvilproject.org//proband_relationship,equivalent,SNOMED:394856008,Paternal grandfather,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
Paternal grandmother,,Subject,,https://anvilproject.org//proband_relationship,equivalent,SNOMED:394858009,Paternal grandmother,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
Paternal great grandmother,,Subject,,https://anvilproject.org//proband_relationship,equivalent,SNOMED:719768009,Paternal great grandmother,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
Paternal half brother,,Subject,,https://anvilproject.org//proband_relationship,equivalent,SNOMED:719762005,Paternal half brother,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
Paternal male cousin,,Subject,,https://anvilproject.org//proband_relationship,source-is-narrower-than-target,SNOMED:719760002,Paternal cousin,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
Paternal second cousin,,Subject,,https://anvilproject.org//proband_relationship,source-is-narrower-than-target,SNOMED:13443008,Second cousin,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
Paternal uncle,,Subject,,https://anvilproject.org//proband_relationship,equivalent,SNOMED:442041000124107,Paternal uncle,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
Proband,,Subject,,https://anvilproject.org//proband_relationship,equivalent,SNOMED:85900004,Proband,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
Second cousin,,Subject,,https://anvilproject.org//proband_relationship,equivalent,SNOMED:13443008,Second cousin,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
Second cousin once removed,,Subject,,https://anvilproject.org//proband_relationship,source-is-narrower-than-target,SNOMED:13443008,Second cousin,file:///nfs/production/parkinso/spot/ols4/prod/local_ontologies/snomed-inferred.owl,
