study_id,consent_id,consent_description,consent_code,is_irb_required,data_access_committee,link,disease_limitation,data_access_type
cmg_yale,1,General Research Use,GRU,No,National Human Genome Research Institute,(nhgridac@mail.nih.gov),,controlled
cmg_yale,2,Health/Medical/Biomedical,HMB,No,National Human Genome Research Institute,(nhgridac@mail.nih.gov),,controlled
cmg_yale,3,Disease-Specific (Rare Disease),DS-RARED,No,National Human Genome Research Institute,(nhgridac@mail.nih.gov),RARED,controlled
cmg_yale,4,"Disease-Specific (Genetic Skin Disease, GSO)",DS-GSD-GSO,No,National Human Genome Research Institute,(nhgridac@mail.nih.gov),GSD,controlled
cmg_yale,5,Disease-Specific (Mendelian Conditions),DS-MC,No,National Human Genome Research Institute,(nhgridac@mail.nih.gov),MC,controlled
cmg_yale,6,Health/Medical/Biomedical (GSO),HMB-GSO,No,National Human Genome Research Institute,(nhgridac@mail.nih.gov),,controlled
cmg_yale,7,"Disease-Specific (Moyamoya, Chiari Disease, Mesial Sclerosis)",DS-MCDMS,No,National Human Genome Research Institute,(nhgridac@mail.nih.gov),MCDMS,controlled
cmg_yale,8,Disease-Specific (Gaucher Disease),DS-GD,No,National Human Genome Research Institute,(nhgridac@mail.nih.gov),GD,controlled
cmg_yale,9,Health/Medical/Biomedical (IRB),HMB-IRB,Yes,National Human Genome Research Institute,(nhgridac@mail.nih.gov),,controlled
cmg_yale,10,"Disease-Specific (Thalassemia, IRB)",DS-THAL-IRB,Yes,National Human Genome Research Institute,(nhgridac@mail.nih.gov),THAL,controlled
cmg_yale,12,Disease-Specific (Reproductive Disorders),DS-RD,No,National Human Genome Research Institute,(nhgridac@mail.nih.gov),RD,controlled
cmg_yale,11,"Disease-Specific (Abnormal Blood Pressure, Electrolyte Abnormalities, or Kidney Disease)",DS-BPEAKD,No,National Human Genome Research Institute,(nhgridac@mail.nih.gov),BPEAKD,controlled
