study_id,src_format,code,curie,display,inactive,description
cmg_yale,white,white,CDCREC:2106-3,White,,
cmg_yale,other,other_race,CDCREC:2131-1,Other,,
cmg_yale,black or african american,black_or_african_american,CDCREC:2054-5,Black or African American,,
cmg_yale,unknown,unknown,SNOMED:261665006,Unknown,,
cmg_yale,hispanic or latino,unknown,SNOMED:261665006,Unknown,,
cmg_yale,asian,asian,CDCREC:2028-9,Asian,,
cmg_yale,american indian or alaskan native,american_indian_or_alaskan_native,CDCREC:1002-5,American Indian or Alaskan Native,,
cmg_yale,native hawaiian or other pacific islander,native_hawaiian_or_pacific_islander,CDCREC:2076-8,Native Hawaiian or Pacific Islander,,
,native hawaiian or pacific islander,native_hawaiian_or_pacific_islander,CDCREC:2076-8,Native Hawaiian or Pacific Islander,,
,asked but unknown,asked_but_unknown,CDCREC:,Asked but Unknown,,
cser,white or european american,white,CDCREC:2106-3,White,,
cser,hispanic/latino,unknown,SNOMED:261665006,Unknown,,
cser,"middle eastern, north african or mediterranean",other_race,CDCREC:2131-1,Other Race,,
