study_id,relationship_to_proband,curie,subject_id,subject_label,predicate_id,object_id,code
,adopted child,KIN:019,KIN:019,isSocialLegalRelativeOf,skos:narrowMatch,CHLDADOPT,adopted child
,adopted daughter,KIN:019,KIN:019,isSocialLegalRelativeOf,skos:narrowMatch,DAUADOPT,adopted daughter
,adopted son,KIN:019,KIN:019,isSocialLegalRelativeOf,skos:narrowMatch,SONADOPT,adopted son
,adoptive father,KIN:022,KIN:022,isAdoptiveParentOf,skos:narrowMatch,ADOPTF,adoptive father
,adoptive mother,KIN:022,KIN:022,isAdoptiveParentOf,skos:narrowMatch,ADOPTM,adoptive mother
,adoptive parent,KIN:022,KIN:022,isAdoptiveParentOf,skos:exactMatch,ADOPTP,adoptive parent
,aunt,KIN:013,KIN:013,isParentalSiblingOf,skos:narrowMatch,AUNT,aunt
,niece/nephew,KIN:046,KIN:046,hasParentalSibling,skos:narrowMatch,FTD_EDIT ,FTD_EDIT
,brother,KIN:024,KIN:024,isSiblingFigureOf,skos:narrowMatch,BRO,brother
,brother-in-law,KIN:019,KIN:019,isSocialLegalRelativeOf,skos:narrowMatch,BROINLAW,brother-in-law
,child,KIN:032,KIN:032,isBiologicalChildOf,skos:closeMatch,CHILD,child
,child-in-law,KIN:019,KIN:019,isSocialLegalRelativeOf,skos:narrowMatch,CHLDINLAW,child-in-law
,cousin,KIN:014,KIN:014,isCousinOf,skos:exactMatch,COUSN,cousin
,daughter,KIN:001,KIN:001,isRelativeOf,skos:narrowMatch,DAUC,daughter
,daughter in-law,KIN:019,KIN:019,isSocialLegalRelativeOf,skos:narrowMatch,DAUINLAW,daughter in-law
,domestic partner,KIN:026,KIN:026,isPartnerOf,skos:closeMatch,DOMPART,domestic partner
,extended family member,KIN:001,KIN:001,isRelativeOf,skos:narrowMatch,EXT,extended family member
,family member,KIN:001,KIN:001,isRelativeOf,skos:broadMatch,FAMMEMB,family member
,biological family member,KIN:002,KIN:002,isBiologicalRelativeOf,skos:broadMatch,FAMMEMB,family member
,social legal family member,KIN:019,KIN:019,isSocialLegalRelativeOf,skos:broadMatch,FAMMEMB,family member
